Resumen de training_data_v5 (6 filas x 2001 cols)
--------------------------------------------------
Col 263: Min=-1.128 | Max=25.000 | Mean=7.972 | Infs=0 | NaNs=0
Col 264: Min=-1.127 | Max=25.000 | Mean=7.995 | Infs=0 | NaNs=0
Col 265: Min=0.000 | Max=41.071 | Mean=10.759 | Infs=0 | NaNs=0
Col 266: Min=0.000 | Max=40.917 | Mean=10.639 | Infs=0 | NaNs=0
Col 267: Min=0.120 | Max=35.652 | Mean=9.878 | Infs=0 | NaNs=0
Col 268: Min=1.016 | Max=30.330 | Mean=11.501 | Infs=0 | NaNs=0
Col 269: Min=0.000 | Max=40.917 | Mean=10.739 | Infs=0 | NaNs=0
Col 270: Min=-1.122 | Max=25.000 | Mean=8.063 | Infs=0 | NaNs=0
Col 271: Min=-0.993 | Max=25.000 | Mean=8.121 | Infs=0 | NaNs=0
Col 272: Min=-1.128 | Max=25.000 | Mean=7.989 | Infs=0 | NaNs=0
Col 273: Min=-0.000 | Max=41.215 | Mean=10.776 | Infs=0 | NaNs=0
Col 274: Min=0.160 | Max=39.084 | Mean=10.405 | Infs=0 | NaNs=0
Col 275: Min=0.120 | Max=30.330 | Mean=9.018 | Infs=0 | NaNs=0
Col 276: Min=-0.238 | Max=39.986 | Mean=10.555 | Infs=0 | NaNs=0
Col 277: Min=-1.047 | Max=25.000 | Mean=8.082 | Infs=0 | NaNs=0
Col 278: Min=-0.859 | Max=25.000 | Mean=8.330 | Infs=0 | NaNs=0
Col 279: Min=-0.924 | Max=25.000 | Mean=8.319 | Infs=0 | NaNs=0
Col 280: Min=-1.005 | Max=25.000 | Mean=8.016 | Infs=0 | NaNs=0
Col 281: Min=-0.518 | Max=38.378 | Mean=10.250 | Infs=0 | NaNs=0
Col 282: Min=0.000 | Max=41.556 | Mean=10.296 | Infs=0 | NaNs=0
Col 283: Min=1.101 | Max=25.000 | Mean=10.070 | Infs=0 | NaNs=0
Col 284: Min=1.101 | Max=25.000 | Mean=10.544 | Infs=0 | NaNs=0
